date,type,opening_balance,customer_payments_in,supplier_payments,payroll,rent,utilities,loan_emi,other_expenses,closing_balance
2026-04-28,historical,332761.57,6775.55,0.0,0.0,0.0,0.0,0.0,924.43,338612.69
2026-04-29,historical,338612.69,12064.93,32533.82,0.0,0.0,0.0,0.0,358.47,317785.33
2026-04-30,historical,317785.33,2177.53,0.0,0.0,0.0,0.0,0.0,654.93,319307.93
2026-05-01,historical,319307.93,7410.12,0.0,25000.0,15000.0,0.0,0.0,478.98,286239.07
2026-05-02,historical,286239.07,2559.96,0.0,0.0,0.0,0.0,0.0,526.15,288272.88
2026-05-03,historical,288272.88,681.0,0.0,0.0,0.0,0.0,0.0,681.95,288271.92
2026-05-04,historical,288271.92,10139.6,0.0,0.0,0.0,0.0,0.0,422.94,297988.59
2026-05-05,historical,297988.59,8769.73,0.0,0.0,0.0,3000.0,0.0,922.26,302836.06
2026-05-06,historical,302836.06,29316.58,28821.27,0.0,0.0,0.0,0.0,669.92,302661.45
2026-05-07,historical,302661.45,10714.03,0.0,0.0,0.0,0.0,0.0,361.42,313014.07
2026-05-08,historical,313014.07,8740.6,0.0,0.0,0.0,0.0,0.0,675.35,321079.31
2026-05-09,historical,321079.31,2979.1,0.0,0.0,0.0,0.0,0.0,523.47,323534.95
2026-05-10,historical,323534.95,910.57,0.0,0.0,0.0,0.0,12000.0,412.1,312033.42
2026-05-11,historical,312033.42,12610.96,0.0,0.0,0.0,0.0,0.0,504.2,324140.18
2026-05-12,historical,324140.18,9457.92,0.0,0.0,0.0,0.0,0.0,377.38,333220.72
2026-05-13,historical,333220.72,8363.56,34184.77,0.0,0.0,0.0,0.0,731.62,306667.88
2026-05-14,historical,306667.88,11583.33,0.0,0.0,0.0,0.0,0.0,360.17,317891.03
2026-05-15,historical,317891.03,9982.37,0.0,25000.0,0.0,0.0,0.0,334.9,302538.5
2026-05-16,historical,302538.5,2678.61,0.0,0.0,0.0,0.0,0.0,413.34,304803.77
2026-05-17,historical,304803.77,3203.82,0.0,0.0,0.0,0.0,0.0,210.38,307797.21
2026-05-18,historical,307797.21,7185.07,0.0,0.0,0.0,0.0,0.0,367.15,314615.13
2026-05-19,historical,314615.13,33342.04,0.0,0.0,0.0,0.0,0.0,795.07,347162.1
2026-05-20,historical,347162.1,27956.91,30645.44,0.0,0.0,0.0,0.0,334.55,344139.02
2026-05-21,historical,344139.02,11038.69,0.0,0.0,0.0,0.0,0.0,806.55,354371.16
2026-05-22,historical,354371.16,1862.72,0.0,0.0,0.0,0.0,0.0,591.54,355642.35
2026-05-23,historical,355642.35,23249.28,0.0,0.0,0.0,0.0,0.0,955.15,377936.47
2026-05-24,historical,377936.47,3406.23,0.0,0.0,0.0,0.0,0.0,674.46,380668.23
2026-05-25,historical,380668.23,30144.82,0.0,0.0,0.0,0.0,0.0,695.26,410117.79
2026-05-26,historical,410117.79,9684.55,0.0,0.0,0.0,0.0,0.0,228.99,419573.35
2026-05-27,historical,419573.35,10683.51,33752.34,0.0,0.0,0.0,0.0,320.32,396184.21
2026-05-28,historical,396184.21,10983.84,0.0,0.0,0.0,0.0,0.0,648.39,406519.65
2026-05-29,historical,406519.65,12953.32,0.0,0.0,0.0,0.0,0.0,735.89,418737.08
2026-05-30,historical,418737.08,2530.82,0.0,0.0,0.0,0.0,0.0,568.18,420699.72
2026-05-31,historical,420699.72,2913.59,0.0,0.0,0.0,0.0,0.0,181.11,423432.19
2026-06-01,historical,423432.19,29320.03,0.0,25000.0,15000.0,0.0,0.0,560.47,412191.75
2026-06-02,historical,412191.75,13032.47,0.0,0.0,0.0,0.0,0.0,562.49,424661.73
2026-06-03,historical,424661.73,7864.76,29715.24,0.0,0.0,0.0,0.0,642.32,402168.92
2026-06-04,historical,402168.92,7750.72,0.0,0.0,0.0,0.0,0.0,548.47,409371.17
2026-06-05,historical,409371.17,14094.8,0.0,0.0,0.0,3000.0,0.0,912.15,419553.82
2026-06-06,historical,419553.82,4755.34,0.0,0.0,0.0,0.0,0.0,797.81,423511.35
2026-06-07,historical,423511.35,775.57,13058.42,0.0,0.0,0.0,0.0,148.25,411080.24
2026-06-08,historical,411080.24,7633.48,0.0,0.0,0.0,0.0,0.0,92.15,418621.57
2026-06-09,historical,418621.57,9026.57,0.0,0.0,0.0,0.0,0.0,766.89,426881.25
2026-06-10,historical,426881.25,6593.24,29888.9,0.0,0.0,0.0,12000.0,86.51,391499.07
2026-06-11,historical,391499.07,9821.76,0.0,0.0,0.0,0.0,0.0,279.75,401041.08
2026-06-12,historical,401041.08,10975.35,0.0,0.0,0.0,0.0,0.0,302.85,411713.57
2026-06-13,historical,411713.57,700.81,0.0,0.0,0.0,0.0,0.0,336.9,412077.48
2026-06-14,historical,412077.48,22226.91,0.0,0.0,0.0,0.0,0.0,292.95,434011.45
2026-06-15,historical,434011.45,33999.98,0.0,25000.0,0.0,0.0,0.0,670.27,442341.15
2026-06-16,historical,442341.15,8759.27,0.0,0.0,0.0,0.0,0.0,444.99,450655.43
2026-06-17,historical,450655.43,5396.16,33289.94,0.0,0.0,0.0,0.0,450.19,422311.46
2026-06-18,historical,422311.46,11153.11,0.0,0.0,0.0,0.0,0.0,562.25,432902.33
2026-06-19,historical,432902.33,13047.57,0.0,0.0,0.0,0.0,0.0,8.65,445941.25
2026-06-20,historical,445941.25,2353.43,0.0,0.0,0.0,0.0,0.0,283.69,448010.99
2026-06-21,historical,448010.99,811.07,0.0,0.0,0.0,0.0,0.0,630.73,448191.33
2026-06-22,historical,448191.33,2609.25,0.0,0.0,0.0,0.0,0.0,607.78,450192.8
2026-06-23,historical,450192.8,12791.46,0.0,0.0,0.0,0.0,0.0,238.07,462746.19
2026-06-24,historical,462746.19,7202.86,31125.94,0.0,0.0,0.0,0.0,369.87,438453.24
2026-06-25,historical,438453.24,9025.75,0.0,0.0,0.0,0.0,0.0,0.0,447478.99
2026-06-26,historical,447478.99,2273.86,0.0,0.0,0.0,0.0,0.0,384.65,449368.2
2026-06-27,historical,449368.2,3755.39,0.0,0.0,0.0,0.0,0.0,908.66,452214.93
2026-06-28,historical,452214.93,4619.61,0.0,0.0,0.0,0.0,0.0,347.35,456487.2
2026-06-29,historical,456487.2,6390.24,0.0,0.0,0.0,0.0,0.0,195.14,462682.29
2026-06-30,historical,462682.29,11595.47,0.0,0.0,0.0,0.0,0.0,369.63,473908.13
2026-07-01,historical,473908.13,2018.96,32012.59,25000.0,15000.0,0.0,0.0,384.62,403529.88
2026-07-02,historical,403529.88,11671.38,0.0,0.0,0.0,0.0,0.0,274.06,414927.21
2026-07-03,historical,414927.21,6459.51,0.0,0.0,0.0,0.0,0.0,293.47,421093.25
2026-07-04,historical,421093.25,3371.15,0.0,0.0,0.0,0.0,0.0,379.2,424085.19
2026-07-05,historical,424085.19,697.61,0.0,0.0,0.0,3000.0,0.0,816.03,420966.77
2026-07-06,historical,420966.77,9024.79,0.0,0.0,0.0,0.0,0.0,413.49,429578.07
2026-07-07,historical,429578.07,5583.79,0.0,0.0,0.0,0.0,0.0,572.16,434589.7
2026-07-08,historical,434589.7,5923.75,27983.83,0.0,0.0,0.0,0.0,503.68,412025.94
2026-07-09,historical,412025.94,13352.87,0.0,0.0,0.0,0.0,0.0,678.48,424700.33
2026-07-10,historical,424700.33,2038.25,0.0,0.0,0.0,0.0,12000.0,204.28,414534.3
2026-07-11,historical,414534.3,4143.75,0.0,0.0,0.0,0.0,0.0,693.18,417984.87
2026-07-12,historical,417984.87,3082.05,0.0,0.0,0.0,0.0,0.0,666.07,420400.86
2026-07-13,historical,420400.86,31307.37,0.0,0.0,0.0,0.0,0.0,580.41,451127.83
2026-07-14,historical,451127.83,12573.95,0.0,0.0,0.0,0.0,0.0,411.07,463290.7
2026-07-15,historical,463290.7,11739.21,32711.28,25000.0,0.0,0.0,0.0,345.24,416973.4
2026-07-16,historical,416973.4,7510.69,0.0,0.0,0.0,0.0,0.0,321.83,424162.26
2026-07-17,historical,424162.26,5350.56,0.0,0.0,0.0,0.0,0.0,989.15,428523.67
2026-07-18,historical,428523.67,26693.55,0.0,0.0,0.0,0.0,0.0,618.05,454599.16
2026-07-19,historical,454599.16,3250.24,0.0,0.0,0.0,0.0,0.0,272.05,457577.35
2026-07-20,historical,457577.35,8020.79,0.0,0.0,0.0,0.0,0.0,474.84,465123.3
2026-07-21,historical,465123.3,3015.48,0.0,0.0,0.0,0.0,0.0,604.79,467533.99
2026-07-22,historical,467533.99,7975.79,26690.29,0.0,0.0,0.0,0.0,242.01,448577.49
2026-07-23,historical,448577.49,7409.84,0.0,0.0,0.0,0.0,0.0,274.92,455712.41
2026-07-24,historical,455712.41,9701.93,0.0,0.0,0.0,0.0,0.0,453.81,464960.52
2026-07-25,historical,464960.52,3696.21,10982.81,0.0,0.0,0.0,0.0,603.33,457070.59
2026-07-26,historical,457070.59,2200.89,0.0,0.0,0.0,0.0,0.0,467.09,458804.39
2026-07-27,historical,458804.39,10027.86,0.0,0.0,0.0,0.0,0.0,495.17,468337.07
2026-07-28,historical,468337.07,32925.64,0.0,0.0,0.0,0.0,0.0,0.0,501262.71
2026-07-29,historical,501262.71,12183.01,29314.62,0.0,0.0,0.0,0.0,425.71,483705.39
2026-07-30,historical,483705.39,7184.98,11222.18,0.0,0.0,0.0,0.0,597.06,479071.12
2026-07-31,historical,479071.12,1690.93,0.0,0.0,0.0,0.0,0.0,644.33,480117.72
2026-08-01,historical,480117.72,22068.44,0.0,25000.0,15000.0,0.0,0.0,473.93,461712.23
2026-08-02,historical,461712.23,2649.32,0.0,0.0,0.0,0.0,0.0,454.16,463907.39
2026-08-03,historical,463907.39,9278.07,0.0,0.0,0.0,0.0,0.0,731.87,472453.59
2026-08-04,historical,472453.59,6660.44,0.0,0.0,0.0,0.0,0.0,852.94,478261.1
2026-08-05,historical,478261.1,8591.31,27183.08,0.0,0.0,3000.0,0.0,243.91,456425.42
2026-08-06,historical,456425.42,13509.59,0.0,0.0,0.0,0.0,0.0,694.36,469240.64
2026-08-07,historical,469240.64,9938.08,12307.8,0.0,0.0,0.0,0.0,157.97,466712.96
2026-08-08,historical,466712.96,1651.81,0.0,0.0,0.0,0.0,0.0,648.65,467716.12
2026-08-09,historical,467716.12,342.31,0.0,0.0,0.0,0.0,0.0,520.16,467538.27
2026-08-10,historical,467538.27,10391.69,0.0,0.0,0.0,0.0,12000.0,304.33,465625.63
2026-08-11,historical,465625.63,6023.12,0.0,0.0,0.0,0.0,0.0,551.21,471097.54
2026-08-12,historical,471097.54,11965.38,26318.25,0.0,0.0,0.0,0.0,244.08,456500.59
2026-08-13,historical,456500.59,8750.36,0.0,0.0,0.0,0.0,0.0,505.22,464745.73
2026-08-14,historical,464745.73,7131.27,0.0,0.0,0.0,0.0,0.0,616.2,471260.8
2026-08-15,historical,471260.8,2024.13,0.0,25000.0,0.0,0.0,0.0,710.73,447574.2
2026-08-16,historical,447574.2,619.06,0.0,0.0,0.0,0.0,0.0,535.81,447657.45
2026-08-17,historical,447657.45,8848.72,0.0,0.0,0.0,0.0,0.0,524.4,455981.77
2026-08-18,historical,455981.77,29780.69,0.0,0.0,0.0,0.0,0.0,374.61,485387.86
2026-08-19,historical,485387.86,13624.9,31264.82,0.0,0.0,0.0,0.0,694.51,467053.43
2026-08-20,historical,467053.43,2248.72,0.0,0.0,0.0,0.0,0.0,185.96,469116.2
2026-08-21,historical,469116.2,7361.3,0.0,0.0,0.0,0.0,0.0,454.75,476022.76
2026-08-22,historical,476022.76,3559.79,0.0,0.0,0.0,0.0,0.0,716.16,478866.39
2026-08-23,historical,478866.39,1473.45,11942.1,0.0,0.0,0.0,0.0,585.92,467811.82
2026-08-24,historical,467811.82,10415.38,0.0,0.0,0.0,0.0,0.0,589.33,477637.87
2026-08-25,historical,477637.87,9573.46,0.0,0.0,0.0,0.0,0.0,505.66,486705.66
2026-08-26,historical,486705.66,10059.51,30192.24,0.0,0.0,0.0,0.0,407.54,466165.38
2026-08-27,historical,466165.38,28512.66,0.0,0.0,0.0,0.0,0.0,447.79,494230.25
2026-08-28,historical,494230.25,10269.97,0.0,0.0,0.0,0.0,0.0,706.37,503793.85
2026-08-29,historical,503793.85,1514.44,0.0,0.0,0.0,0.0,0.0,642.68,504665.61
2026-08-30,historical,504665.61,3047.02,0.0,0.0,0.0,0.0,0.0,396.54,507316.09
2026-08-31,historical,507316.09,12818.69,0.0,0.0,0.0,0.0,0.0,163.64,519971.15
2026-09-01,expected,519971.15,6482.8,0.0,25000.0,15000.0,0.0,0.0,231.11,486222.84
2026-09-02,expected,486222.84,8162.7,29930.63,0.0,0.0,0.0,0.0,546.84,463908.06
2026-09-03,expected,463908.06,13101.0,0.0,0.0,0.0,0.0,0.0,300.33,476708.73
2026-09-04,expected,476708.73,9668.55,0.0,0.0,0.0,0.0,0.0,334.88,486042.41
2026-09-05,expected,486042.41,1877.28,0.0,0.0,0.0,3000.0,0.0,576.48,484343.2
2026-09-06,expected,484343.2,4167.1,0.0,0.0,0.0,0.0,0.0,824.22,487686.08
2026-09-07,expected,487686.08,8753.72,0.0,0.0,0.0,0.0,0.0,388.9,496050.9
2026-09-08,expected,496050.9,9253.2,0.0,0.0,0.0,0.0,0.0,265.29,505038.81
2026-09-09,expected,505038.81,8895.55,31265.86,0.0,0.0,0.0,0.0,809.5,481859.0
2026-09-10,expected,481859.0,6573.34,0.0,0.0,0.0,0.0,12000.0,616.76,475815.58
2026-09-11,expected,475815.58,2217.4,0.0,0.0,0.0,0.0,0.0,716.72,477316.26
2026-09-12,expected,477316.26,1620.68,0.0,0.0,0.0,0.0,0.0,353.81,478583.12
2026-09-13,expected,478583.12,21573.11,0.0,0.0,0.0,0.0,0.0,1005.39,499150.84
2026-09-14,expected,499150.84,8938.26,0.0,0.0,0.0,0.0,0.0,172.12,507916.99
2026-09-15,expected,507916.99,10925.1,0.0,25000.0,0.0,0.0,0.0,664.1,493177.99
2026-09-16,expected,493177.99,11014.55,32764.32,0.0,0.0,0.0,0.0,629.74,470798.47
2026-09-17,expected,470798.47,9665.76,0.0,0.0,0.0,0.0,0.0,529.34,479934.9
2026-09-18,expected,479934.9,2167.3,0.0,0.0,0.0,0.0,0.0,580.08,481522.11
2026-09-19,expected,481522.11,3191.1,0.0,0.0,0.0,0.0,0.0,509.29,484203.93
2026-09-20,expected,484203.93,4495.13,0.0,0.0,0.0,0.0,0.0,542.73,488156.33
2026-09-21,expected,488156.33,9809.41,0.0,0.0,0.0,0.0,0.0,555.8,497409.94
2026-09-22,expected,497409.94,31168.12,0.0,0.0,0.0,0.0,0.0,526.59,528051.46
2026-09-23,expected,528051.46,8599.76,28882.16,0.0,0.0,0.0,0.0,575.44,507193.62
2026-09-24,expected,507193.62,13131.05,0.0,0.0,0.0,0.0,0.0,486.85,519837.82
2026-09-25,expected,519837.82,7540.26,0.0,0.0,0.0,0.0,0.0,464.45,526913.63
2026-09-26,expected,526913.63,3243.8,0.0,0.0,0.0,0.0,0.0,387.18,529770.24
2026-09-27,expected,529770.24,2777.59,0.0,0.0,0.0,0.0,0.0,270.61,532277.22
2026-09-28,expected,532277.22,6948.95,0.0,0.0,0.0,0.0,0.0,361.62,538864.55
2026-09-29,expected,538864.55,27240.01,0.0,0.0,0.0,0.0,0.0,483.57,565621.0
2026-09-30,expected,565621.0,12234.59,30685.45,0.0,0.0,0.0,0.0,591.35,546578.79
2026-10-01,expected,546578.79,11139.53,0.0,25000.0,15000.0,0.0,0.0,589.54,517128.78
2026-10-02,expected,517128.78,2499.68,0.0,0.0,0.0,0.0,0.0,598.28,519030.18
2026-10-03,expected,519030.18,2323.61,0.0,0.0,0.0,0.0,0.0,860.19,520493.6
2026-10-04,expected,520493.6,1408.6,0.0,0.0,0.0,0.0,0.0,612.94,521289.26
2026-10-05,expected,521289.26,9095.39,0.0,0.0,0.0,3000.0,0.0,15.22,527369.42
2026-10-06,expected,527369.42,31702.01,0.0,0.0,0.0,0.0,0.0,499.28,558572.15
2026-10-07,expected,558572.15,7683.27,29558.07,0.0,0.0,0.0,0.0,505.38,536191.97
2026-10-08,expected,536191.97,26333.3,11820.99,0.0,0.0,0.0,0.0,353.62,550350.65
2026-10-09,expected,550350.65,10390.82,0.0,0.0,0.0,0.0,0.0,287.47,560454.0
2026-10-10,expected,560454.0,26248.62,0.0,0.0,0.0,0.0,12000.0,862.4,573840.23
2026-10-11,expected,573840.23,3357.93,0.0,0.0,0.0,0.0,0.0,709.91,576488.24
2026-10-12,expected,576488.24,29158.6,0.0,0.0,0.0,0.0,0.0,690.03,604956.81
2026-10-13,expected,604956.81,2160.54,0.0,0.0,0.0,0.0,0.0,936.5,606180.84
2026-10-14,expected,606180.84,8697.16,29032.23,0.0,0.0,0.0,0.0,604.57,585241.21
2026-10-15,expected,585241.21,8852.6,0.0,25000.0,0.0,0.0,0.0,313.36,568780.46
2026-10-16,expected,568780.46,11506.65,0.0,0.0,0.0,0.0,0.0,622.7,579664.4
2026-10-17,expected,579664.4,24159.3,0.0,0.0,0.0,0.0,0.0,477.85,603345.85
2026-10-18,expected,603345.85,1135.67,11098.4,0.0,0.0,0.0,0.0,544.89,592838.23
2026-10-19,expected,592838.23,12094.2,0.0,0.0,0.0,0.0,0.0,173.41,604759.02
2026-10-20,expected,604759.02,8854.46,0.0,0.0,0.0,0.0,0.0,795.31,612818.17
2026-10-21,expected,612818.17,2552.04,30988.06,0.0,0.0,0.0,0.0,552.13,583830.01
2026-10-22,expected,583830.01,8899.39,0.0,0.0,0.0,0.0,0.0,365.68,592363.73
2026-10-23,expected,592363.73,6699.02,0.0,0.0,0.0,0.0,0.0,489.92,598572.83
2026-10-24,expected,598572.83,4148.77,0.0,0.0,0.0,0.0,0.0,152.06,602569.54
2026-10-25,expected,602569.54,3807.29,0.0,0.0,0.0,0.0,0.0,250.85,606125.98
2026-10-26,expected,606125.98,1981.23,0.0,0.0,0.0,0.0,0.0,595.41,607511.81
2026-10-27,expected,607511.81,5809.68,0.0,0.0,0.0,0.0,0.0,550.83,612770.66
2026-10-28,expected,612770.66,13001.52,31700.44,0.0,0.0,0.0,0.0,435.67,593636.06
2026-10-29,expected,593636.06,14153.5,0.0,0.0,0.0,0.0,0.0,439.34,607350.22
2026-10-30,expected,607350.22,10759.45,0.0,0.0,0.0,0.0,0.0,645.53,617464.14
